id_establecimiento,financiamiento,tiene_terapia,id_departamento,id_provincia
10660212173031,estatal,False,21,66
50221402126475,estatal,False,140,22
53660562373545,privado,False,56,66
50221402126450,estatal,False,140,22
50221402126272,estatal,False,140,22
50221402126349,estatal,False,140,22
50740562380225,privado,False,56,74
50740562380226,privado,False,56,74
52740562380254,privado,False,56,74
51740562380244,privado,False,56,74
10740562180022,estatal,True,56,74
52100492124336,estatal,False,49,10
50101122124070,estatal,False,112,10
53100492324342,privado,False,49,10
53100492324341,privado,False,49,10
50820632385297,privado,False,63,82
10181262139004,estatal,False,126,18
10181332139031,estatal,False,133,18
10181332139024,estatal,False,133,18
13181402139081,estatal,False,140,18
10181402139053,estatal,False,140,18
50820632385294,privado,False,63,82
53340142347213,privado,False,14,34
51780142383115,privado,False,14,78
10780142183004,estatal,False,14,78
10660562173067,estatal,False,56,66
50701192177082,estatal,False,119,70
50700282177109,estatal,False,28,70
50700772177111,estatal,False,77,70
53660562373577,privado,False,56,66
10500842157025,estatal,True,84,50
50740562380185,privado,False,56,74
51820632385404,privado,False,63,82
50220772126309,estatal,False,77,22
50221052126249,estatal,False,105,22
10661052173045,estatal,False,105,66
50700072277248,estatal,False,7,70
50700492177094,estatal,False,49,70
50700562177191,estatal,False,56,70
50700212177205,estatal,False,21,70
50700562177163,estatal,False,56,70
50700562177128,estatal,False,56,70
50700562177183,estatal,False,56,70
50700912177123,estatal,False,91,70
50700702277252,estatal,False,70,70
52660072374381,privado,False,7,66
50700282177076,estatal,False,28,70
50700072177146,estatal,False,7,70
50700842177083,estatal,False,84,70
50700842177113,estatal,False,84,70
50820492184784,estatal,False,49,82
50820492184519,estatal,False,49,82
50820492184526,estatal,False,49,82
50820492184516,estatal,False,49,82
50820492184527,estatal,False,49,82
50820492184601,estatal,False,49,82
50820492184511,estatal,False,49,82
50820492184963,estatal,False,49,82
50820492184889,estatal,False,49,82
50820492185028,estatal,False,49,82
50820492185034,estatal,False,49,82
51140142331586,privado,False,14,14
50066382307263,privado,False,638,6
50660282173152,estatal,False,28,66
50660282173145,estatal,False,28,66
50661472173119,estatal,False,147,66
50661542173357,estatal,False,154,66
50660282173091,estatal,False,28,66
50660562173362,estatal,False,56,66
50660562173261,estatal,False,56,66
50660562173406,estatal,False,56,66
50661122173412,estatal,False,112,66
50661332173134,estatal,False,133,66
50421052353254,privado,False,105,42
14060582305243,privado,False,658,6
50380142150056,estatal,False,14,38
53660282373571,privado,False,28,66
10660282373076,privado,True,28,66
10660282373077,privado,True,28,66
10660282373079,privado,True,28,66
53660282373573,privado,False,28,66
10780142183017,estatal,True,14,78
50821122384441,privado,False,112,82
10780142183022,estatal,False,14,78
10780142183009,estatal,False,14,78
50260352129118,estatal,False,35,26
15064342305247,privado,False,434,6
50860702192414,estatal,False,70,86
50860212192245,estatal,False,21,86
50861612192306,estatal,False,161,86
50861262192140,estatal,False,126,86
50861612192095,estatal,False,161,86
50860142192310,estatal,False,14,86
50380632350323,privado,False,63,38
15064902305251,privado,False,490,6
14062602305255,privado,False,260,6
15060582305257,privado,False,658,6
52780142383168,privado,False,14,78
50260422129194,estatal,False,42,26
50260492129213,estatal,False,49,26
10260492129012,estatal,False,49,26
14700282377057,privado,False,28,70
10580422167034,estatal,False,42,58
10580632167022,estatal,False,63,58
50140842131433,estatal,False,84,14
10580702167030,estatal,False,70,58
50140632231536,estatal,False,63,14
10580772167011,estatal,False,77,58
10580772167021,estatal,False,77,58
50140072231558,estatal,False,7,14
50140072231510,estatal,False,7,14
50140072231493,estatal,False,7,14
10580842167016,estatal,False,84,58
50140072231560,estatal,False,7,14
10580912167013,estatal,False,91,58
50141402231540,estatal,False,140,14
50141402231543,estatal,False,140,14
50141402231452,estatal,False,140,14
50140912231501,estatal,False,91,14
50140982231526,estatal,False,98,14
50020012315927,privado,False,13,2
50420212353510,privado,False,21,42
50067602303460,privado,False,760,6
50068612303484,privado,False,861,6
52064902303649,privado,False,490,6
10620772170026,estatal,False,77,62
52064122303835,privado,False,412,6
50060282303869,privado,False,28,6
50060582303879,estatal,False,658,6
51060582303881,privado,False,658,6
52064902303883,privado,False,490,6
50064902303920,privado,False,490,6
50064902303887,privado,False,490,6
51060282303902,privado,False,28,6
50064902303922,privado,False,490,6
50060282303946,privado,False,28,6
50060582304010,privado,False,658,6
52060282304012,privado,False,28,6
52060352304026,privado,False,35,6
50020012315949,privado,False,5,2
51420212353692,privado,False,21,42
50060912304036,privado,False,91,6
50060912304038,privado,False,91,6
53420212353694,privado,False,21,42
52060582304040,privado,False,658,6
50661332173432,estatal,False,133,66
50660282173137,estatal,False,28,66
50660282173148,estatal,False,28,66
50660282173154,estatal,False,28,66
50660282173159,estatal,False,28,66
50660282173162,estatal,False,28,66
50661122173421,estatal,False,112,66
50661262173281,estatal,False,126,66
50661192173308,estatal,False,119,66
50661262173320,estatal,False,126,66
50661192173339,estatal,False,119,66
50660422173370,estatal,False,42,66
52700282377378,privado,False,28,70
53700282377394,privado,False,28,70
50860492192462,estatal,False,49,86
