,establecimiento_id,provincia_id,provincia_nombre,departamento_id,departamento_nombre,origen_financiamiento,tiene_terapia
135,50340142147093,34,FORMOSA,14,FORMOSA,estatal,False
136,50300492142199,30,ENTRE RÍOS,49,GUALEGUAY,estatal,False
137,50300492142419,30,ENTRE RÍOS,49,GUALEGUAY,estatal,False
138,15060582305235,6,BUENOS AIRES,658,QUILMES,privado,False
139,15062602305237,6,BUENOS AIRES,260,ESTEBAN ECHEVERRÍA,privado,False
140,50260352129090,26,CHUBUT,35,FUTALEUFÚ,estatal,False
141,50580562367144,58,NEUQUÉN,56,LÁCAR,privado,False
142,13580352367042,58,NEUQUÉN,35,CONFLUENCIA,privado,False
143,50064412201306,6,BUENOS AIRES,441,LA PLATA,estatal,False
144,50064412201301,6,BUENOS AIRES,441,LA PLATA,estatal,False
145,50064412201299,6,BUENOS AIRES,441,LA PLATA,estatal,False
146,50064412201296,6,BUENOS AIRES,441,LA PLATA,estatal,False
147,10661262173026,66,SALTA,126,ORÁN,estatal,False
148,10661332173038,66,SALTA,133,RIVADAVIA,estatal,False
149,50064412201291,6,BUENOS AIRES,441,LA PLATA,estatal,False
150,50064412201289,6,BUENOS AIRES,441,LA PLATA,estatal,False
151,50064412201285,6,BUENOS AIRES,441,LA PLATA,estatal,False
152,50064412201284,6,BUENOS AIRES,441,LA PLATA,estatal,False
153,50064412201283,6,BUENOS AIRES,441,LA PLATA,estatal,False
154,50064412201282,6,BUENOS AIRES,441,LA PLATA,estatal,False
155,50064412201280,6,BUENOS AIRES,441,LA PLATA,estatal,False
156,50064412201279,6,BUENOS AIRES,441,LA PLATA,estatal,False
157,52260772329307,26,CHUBUT,77,RAWSON,privado,False
158,52260772329309,26,CHUBUT,77,RAWSON,privado,False
159,50260772329069,26,CHUBUT,77,RAWSON,privado,False
160,50260772329073,26,CHUBUT,77,RAWSON,privado,False
161,15060582305239,6,BUENOS AIRES,58,QUILMES,privado,False
162,13060352305241,6,BUENOS AIRES,35,AVELLANEDA,privado,False
163,50861052192252,86,SANTIAGO DEL ESTERO,105,LORETO,estatal,False
164,50260352129195,26,CHUBUT,35,FUTALEUFÚ,estatal,False
165,10260352129037,26,CHUBUT,35,FUTALEUFÚ,estatal,False
166,10260422129029,26,CHUBUT,42,GAIMAN,estatal,False
167,10260422129022,26,CHUBUT,42,GAIMAN,estatal,False
168,50700072177127,70,SAN JUAN,7,ALBARDÓN,estatal,False
169,50380212150148,38,JUJUY,21,DR. MANUEL BELGRANO,estatal,False
170,50060582303548,6,BUENOS AIRES,658,QUILMES,privado,False
171,50701262177114,70,SAN JUAN,126,25 DE MAYO,estatal,False
172,50068612303550,6,BUENOS AIRES,861,VICENTE LÓPEZ,privado,False
173,50020012315913,2,CABA,13,COMUNA 13,privado,False
174,50060912303552,6,BUENOS AIRES,91,BERAZATEGUI,privado,False
175,53420212353492,42,LA PAMPA,21,CAPITAL,privado,False
176,52060582303593,6,BUENOS AIRES,658,QUILMES,privado,False
177,50700632177115,70,SAN JUAN,63,9 DE JULIO,estatal,False
178,50063712303595,6,BUENOS AIRES,371,GENERAL SAN MARTÍN,privado,False
179,50700142177124,70,SAN JUAN,14,ANGACO,estatal,False
180,50420212353496,42,LA PAMPA,21,CAPITAL,privado,False
181,50061262303599,6,BUENOS AIRES,126,CAMPANA,privado,False
182,52060352303601,6,BUENOS AIRES,35,AVELLANEDA,privado,False
183,50700562177185,70,SAN JUAN,56,JÁCHAL,estatal,False
184,50701262177194,70,SAN JUAN,126,25 DE MAYO,estatal,False
185,50420212353498,42,LA PAMPA,21,CAPITAL,privado,False
186,50701052177105,70,SAN JUAN,105,SARMIENTO,estatal,False
187,50701052177106,70,SAN JUAN,105,SARMIENTO,estatal,False
188,50701052177133,70,SAN JUAN,105,SARMIENTO,estatal,False
189,50701052177142,70,SAN JUAN,105,SARMIENTO,estatal,False
190,50700352177156,70,SAN JUAN,35,CAUCETE,estatal,False
191,50700772177161,70,SAN JUAN,77,RAWSON,estatal,False
192,50860352192611,86,SANTIAGO DEL ESTERO,35,BANDA,estatal,False
193,50420212353502,42,LA PAMPA,21,CAPITAL,privado,False
194,50420212353504,42,LA PAMPA,21,CAPITAL,privado,False
195,53062522303609,6,BUENOS AIRES,252,ESCOBAR,privado,False
196,50141402231525,14,CÓRDOBA,140,SAN JUSTO,estatal,False
197,50140422231522,14,CÓRDOBA,42,GENERAL SAN MARTÍN,estatal,False
198,50140912231514,14,CÓRDOBA,91,PUNILLA,estatal,False
199,50140422231524,14,CÓRDOBA,42,GENERAL SAN MARTÍN,estatal,False
200,50141472231555,14,CÓRDOBA,147,SANTA MARÍA,estatal,False
201,50141472231552,14,CÓRDOBA,147,SANTA MARÍA,estatal,False
202,10661542173034,66,SALTA,154,SAN CARLOS,estatal,False
203,50060582303655,6,BUENOS AIRES,658,QUILMES,privado,False
204,51062702303859,6,BUENOS AIRES,270,EZEIZA,privado,False
205,50062742303861,6,BUENOS AIRES,274,FLORENCIO VARELA,privado,False
206,50060582303863,6,BUENOS AIRES,658,QUILMES,privado,False
207,50060582303867,6,BUENOS AIRES,658,QUILMES,privado,False
208,10660282373033,66,SALTA,28,CAPITAL,privado,True
209,50700912177092,70,SAN JUAN,91,SAN MARTÍN,estatal,False
210,50700772177099,70,SAN JUAN,77,RAWSON,estatal,False
211,50700142177096,70,SAN JUAN,14,ANGACO,estatal,False
212,50020012315560,2,CABA,3,COMUNA 3,privado,False
213,52020012315753,2,CABA,5,COMUNA 5,privado,False
214,50300492142201,30,ENTRE RÍOS,49,GUALEGUAY,estatal,False
215,50300772142172,30,ENTRE RÍOS,77,NOGOYÁ,estatal,False
216,50300772142268,30,ENTRE RÍOS,77,NOGOYÁ,estatal,False
217,50300772142285,30,ENTRE RÍOS,77,NOGOYÁ,estatal,False
218,50300772142375,30,ENTRE RÍOS,77,NOGOYÁ,estatal,False
219,50300772142300,30,ENTRE RÍOS,77,NOGOYÁ,estatal,False
220,50300772142248,30,ENTRE RÍOS,77,NOGOYÁ,estatal,False
221,50300772142301,30,ENTRE RÍOS,77,NOGOYÁ,estatal,False
222,50301052142159,30,ENTRE RÍOS,105,VICTORIA,estatal,False
